"Query,Intent"
"Does auto top-up have a limit?,Banking"
"Is there a limit to the top-ups someone can do?,Banking"
"what are the exchange rates for getting cash,Banking"
"Tell me what ATMs use this card.,Banking"
"How long will a cash withdrawal be pending?,Banking"
"Are there any live Q&A sessions with instructors?,Non-Banking"
"Is there a reason that my transfer failed?,Banking"
"show me flights from pittsburgh to atlanta on monday morning,Non-Banking"
"can you show me the flights from dallas to baltimore with economy fares,Non-Banking"
"Is the exchange rate current?,Banking"
"Are visa and mastercard accepted,Banking"
"What is your check-cashing policy?,Banking"
"Switch to typing mode. Access the course syllabus for Management Information Systems.,Non-Banking"
"I just bought an item and changed my mind. I have not received it yet how can I get refunded. Thank you.,Banking"
"Can you recommend a course in organizational development?,Non-Banking"
"i need to make a trip starting in boston going to dallas denver oakland and back to boston,Non-Banking"
"what's the earliest flight from boston to bwi that serves lunch,Non-Banking"
"which united airlines flights go through denver,Non-Banking"
"i would like a flight from philadelphia to dallas that makes a stop in atlanta,Non-Banking"
"list a round trip fare from kansas city to minneapolis flights,Non-Banking"
"Please deposit the cheque in the main branch near the river bank.,Banking"
"Can you text me your responses? How difficult is the Game Development Fundamentals course?,Non-Banking"
"show me flights from denver to boston on tuesday,Non-Banking"
"I thought I left my card at a restaurant, but they claim not to have it and now I don't have any idea where it is. I'm so worried that someone might be using it fraudulently. Is there any way to look into this?,Banking"
"What does the €1 fee mean?,Banking"
"show me all flights from pittsburgh to atlanta which leave after 5 o'clock pm tomorrow,Non-Banking"
"Use text answers for me. Open the landing page for Introduction to Business Administration.,Non-Banking"
"How do I make a currency exchange?,Banking"
"Hello, I trying to top up with my card today but it didn't work. When I tried last time it worked but today it isn't. Could you take a look at it for me?,Banking"
"Who do I talk to for transactions debited twice?,Banking"
"It declined my transfer.,Banking"
"what is the latest flight from san francisco to washington,Non-Banking"
"How do I add an existing card to the app?,Banking"
"What do I need to do to correct this failed transfer?,Banking"
"list the flights from dallas to baltimore,Non-Banking"
"Disable verbal communication. Take me to the page for Project Management Fundamentals.,Non-Banking"
"Whats the reason for my payment being declined? It looked like everything went through ok and my account was good.,Banking"
"How do I prepare for a job interview?,Non-Banking"
"Type your responses to me. What's the best way to clean a microwave?,Non-Banking"
"Type back your replies.,Non-Banking"
"I transferred money and it didn't get there.,Banking"
